Päivämäärä;Auroransilta;Eteläesplanadi;Huopalahti (asema);Kaisaniemi/Eläintarhanlahti;Kaivokatu;Kulosaaren silta et.;Kulosaaren silta po. ;Kuusisaarentie;Käpylä, Pohjoisbaana;Lauttasaaren silta eteläpuoli;Merikannontie;Munkkiniemen silta eteläpuoli;Munkkiniemi silta pohjoispuoli;Heperian puisto/Ooppera;Pitkäsilta itäpuoli;Pitkäsilta länsipuoli;Lauttasaaren silta pohjoispuoli;Ratapihantie;Viikintie;Baana;
ke 30 joulu 2015 13:00;;31;8;12;;0;17;7;;26;8;19;6;11;26;16;23;15;;27;
ke 30 joulu 2015 14:00;;29;15;19;;0;27;9;;41;13;24;16;10;31;17;31;28;;27;
ke 30 joulu 2015 15:00;;27;29;36;;0;42;23;;38;21;42;22;19;55;44;26;54;;65;
ke 30 joulu 2015 16:00;;38;45;29;;0;62;23;;76;37;29;26;18;65;52;32;68;;92;
ke 30 joulu 2015 17:00;;33;35;26;;0;44;21;;49;22;32;43;16;58;56;18;42;;69;
ke 30 joulu 2015 18:00;;23;18;22;;0;36;9;;35;9;26;21;11;48;31;24;39;;44;
ke 30 joulu 2015 19:00;;20;12;5;;0;11;6;;26;14;22;20;6;24;19;18;16;;35;
ke 30 joulu 2015 20:00;;21;6;8;;0;13;3;;16;6;9;11;6;27;14;21;14;;27;
ke 30 joulu 2015 21:00;;5;8;7;;0;18;2;;7;12;10;12;3;18;10;5;13;;22;
ke 30 joulu 2015 22:00;;5;4;3;;0;10;1;;10;6;2;8;5;10;6;4;9;;10;
ke 30 joulu 2015 23:00;;4;1;0;;0;4;2;;4;1;2;0;2;4;0;4;2;;2;
to 31 joulu 2015 00:00;;3;1;2;;0;2;1;;3;1;1;2;0;0;0;4;1;;3;
to 31 joulu 2015 01:00;;1;0;0;;0;0;0;;0;0;0;0;0;0;1;2;4;;3;
to 31 joulu 2015 02:00;;0;1;0;;0;1;0;;1;0;0;1;2;2;1;2;0;;1;
to 31 joulu 2015 03:00;;0;2;0;;0;5;0;;0;1;0;1;0;0;2;1;4;;0;
to 31 joulu 2015 04:00;;1;2;0;;0;4;0;;1;1;0;1;0;0;1;1;4;;2;
to 31 joulu 2015 05:00;;4;4;1;;0;3;1;;6;1;2;0;0;2;4;4;6;;4;
to 31 joulu 2015 06:00;;3;20;3;;0;24;4;;11;7;8;10;7;13;8;4;21;;24;
to 31 joulu 2015 07:00;;16;32;19;;0;25;16;;39;18;28;25;15;26;9;3;36;;40;
to 31 joulu 2015 08:00;;24;26;25;;0;24;13;;33;12;15;22;15;30;22;6;51;;39;
to 31 joulu 2015 09:00;;23;10;19;;0;15;7;;19;15;19;13;9;28;19;9;31;;33;
to 31 joulu 2015 10:00;;22;8;19;;0;17;8;;25;7;11;6;3;20;18;11;42;;25;
to 31 joulu 2015 11:00;;20;6;9;;0;25;5;;36;3;12;7;13;26;16;25;16;;22;
to 31 joulu 2015 12:00;;21;14;22;;0;16;5;;31;8;26;2;13;33;30;29;34;;29;
to 31 joulu 2015 13:00;;18;20;19;;0;23;9;;28;18;18;19;14;31;31;33;24;;43;
to 31 joulu 2015 14:00;;21;21;26;;0;41;19;;42;12;33;17;14;46;34;32;36;;53;
to 31 joulu 2015 15:00;;31;22;22;;0;34;15;;47;21;35;30;23;41;27;24;60;;64;
to 31 joulu 2015 16:00;;21;24;18;;0;35;11;;41;16;30;20;16;40;22;19;39;;49;
to 31 joulu 2015 17:00;;17;16;14;;0;22;8;;29;10;12;13;13;22;23;28;31;;29;
to 31 joulu 2015 18:00;;15;6;13;;0;10;2;;22;6;3;6;2;22;16;12;20;;16;
to 31 joulu 2015 19:00;;9;3;4;;0;10;4;;13;4;10;6;4;12;9;5;6;;7;
to 31 joulu 2015 20:00;;5;4;3;;0;7;3;;8;4;11;4;4;11;8;14;9;;7;
to 31 joulu 2015 21:00;;5;4;4;;0;2;5;;3;3;4;2;0;10;9;9;10;;11;
to 31 joulu 2015 22:00;;4;6;6;;0;6;0;;4;4;4;4;0;8;8;11;14;;3;
to 31 joulu 2015 23:00;;16;0;2;;0;2;7;;4;5;3;3;0;14;8;11;3;;2;
pe 1 tammi 2016 00:00;;12;0;5;;0;4;1;;4;2;3;2;11;7;11;3;2;;6;
pe 1 tammi 2016 01:00;;3;2;4;;0;10;0;;0;1;0;1;1;4;6;4;10;;5;
pe 1 tammi 2016 02:00;;5;1;2;;0;8;0;;5;2;1;3;6;6;12;5;2;;5;
pe 1 tammi 2016 03:00;;3;1;3;;0;4;1;;2;1;0;1;4;4;3;0;7;;3;
pe 1 tammi 2016 04:00;;3;0;0;;0;2;1;;3;3;2;2;6;2;11;0;1;;3;
pe 1 tammi 2016 05:00;;3;0;0;;0;2;0;;2;3;1;0;0;0;0;1;0;;2;
pe 1 tammi 2016 06:00;;0;1;0;;0;5;1;;1;1;3;3;1;2;3;0;5;;2;
pe 1 tammi 2016 07:00;;1;1;1;;0;1;6;;4;1;1;3;5;2;3;0;7;;7;
pe 1 tammi 2016 08:00;;0;3;0;;0;2;0;;3;2;2;2;2;2;2;1;4;;2;
pe 1 tammi 2016 09:00;;4;0;2;;0;3;3;;3;4;4;3;2;4;2;0;3;;5;
pe 1 tammi 2016 10:00;;0;1;3;;0;7;3;;3;1;3;1;9;1;4;1;4;;8;
pe 1 tammi 2016 11:00;;4;7;4;;0;6;5;;3;8;8;1;11;6;12;4;7;;16;
pe 1 tammi 2016 12:00;;6;3;4;;0;5;4;;14;15;1;6;7;4;7;8;8;;15;
pe 1 tammi 2016 13:00;;12;7;7;;0;11;10;;22;10;7;6;10;11;13;7;19;;13;
pe 1 tammi 2016 14:00;;10;4;6;;0;20;13;;17;20;4;4;20;15;14;6;7;;12;
pe 1 tammi 2016 15:00;;4;3;14;;0;19;3;;7;17;5;7;19;13;14;10;8;;13;
pe 1 tammi 2016 16:00;;5;7;6;;0;5;6;;14;17;4;11;22;16;17;4;10;;15;
pe 1 tammi 2016 17:00;;11;4;6;;0;8;3;;18;5;5;3;19;12;13;7;5;;11;
pe 1 tammi 2016 18:00;;9;3;4;;0;6;4;;8;5;12;2;16;10;8;6;7;;15;
pe 1 tammi 2016 19:00;;3;10;4;;0;9;1;;5;9;7;6;7;12;3;4;7;;2;
pe 1 tammi 2016 20:00;;2;1;5;;0;7;2;;11;4;0;4;15;3;7;4;5;;9;
pe 1 tammi 2016 21:00;;5;6;1;;0;6;0;;1;4;2;1;3;5;10;1;4;;9;
pe 1 tammi 2016 22:00;;3;0;0;;0;3;2;;2;4;2;3;1;1;6;1;4;;2;
pe 1 tammi 2016 23:00;;4;1;2;;0;5;1;;2;0;0;1;1;3;2;4;2;;4;
la 2 tammi 2016 00:00;;5;2;2;;0;1;1;;2;0;1;0;3;1;5;2;3;;3;
la 2 tammi 2016 01:00;;0;0;1;;0;1;1;;0;0;1;0;1;0;1;0;1;;0;
la 2 tammi 2016 02:00;;0;0;0;;0;1;0;;1;0;0;1;4;1;3;0;0;;0;
la 2 tammi 2016 03:00;;1;0;0;;0;0;1;;2;0;0;1;0;0;0;0;2;;0;
la 2 tammi 2016 04:00;;0;1;0;;0;2;0;;0;0;0;2;1;0;2;0;1;;1;
la 2 tammi 2016 05:00;;1;1;2;;0;0;0;;3;1;0;0;2;1;2;0;0;;3;
la 2 tammi 2016 06:00;;0;1;0;;0;3;3;;0;2;2;3;5;4;0;1;16;;3;
la 2 tammi 2016 07:00;;1;4;2;;0;2;0;;1;3;0;3;6;1;0;3;7;;7;
la 2 tammi 2016 08:00;;3;3;3;;0;6;5;;10;7;1;4;4;8;1;2;6;;7;
la 2 tammi 2016 09:00;;7;2;9;;0;8;0;;7;4;5;1;8;10;7;3;4;;8;
la 2 tammi 2016 10:00;;7;4;8;;0;10;4;;12;7;5;4;10;12;12;5;11;;25;
la 2 tammi 2016 11:00;;17;7;17;;0;12;3;;13;12;6;6;15;12;15;3;13;;18;
la 2 tammi 2016 12:00;;11;7;13;;0;6;5;;13;8;5;8;20;17;10;10;14;;22;
la 2 tammi 2016 13:00;;14;8;12;;0;19;6;;21;12;11;0;22;14;19;7;23;;22;
la 2 tammi 2016 14:00;;16;12;9;;0;19;5;;13;7;6;7;20;25;26;9;21;;21;
la 2 tammi 2016 15:00;;18;5;8;;0;13;5;;29;21;13;4;24;15;28;18;19;;30;
la 2 tammi 2016 16:00;;15;4;9;;0;9;0;;11;12;7;4;14;20;27;12;11;;19;
la 2 tammi 2016 17:00;;13;4;7;;0;11;2;;14;10;3;8;12;15;19;11;12;;15;
la 2 tammi 2016 18:00;;8;4;9;;0;8;3;;16;6;4;1;21;14;12;4;20;;8;
la 2 tammi 2016 19:00;;8;4;2;;0;6;3;;7;7;4;6;3;7;10;2;9;;13;
la 2 tammi 2016 20:00;;0;3;6;;0;5;3;;3;4;0;2;11;7;6;6;17;;13;
la 2 tammi 2016 21:00;;5;0;2;;0;4;2;;4;2;7;6;12;5;7;2;7;;12;
la 2 tammi 2016 22:00;;2;1;5;;0;4;4;;5;0;0;0;2;0;8;1;4;;9;
la 2 tammi 2016 23:00;;3;1;2;;0;10;1;;3;2;1;0;5;7;5;2;3;;5;
su 3 tammi 2016 00:00;;2;0;4;;0;2;0;;0;1;2;1;7;1;2;1;4;;4;
su 3 tammi 2016 01:00;;1;0;1;;0;1;1;;2;0;0;1;3;2;2;2;2;;3;
su 3 tammi 2016 02:00;;1;0;0;;0;1;0;;1;1;0;0;1;0;2;0;1;;3;
su 3 tammi 2016 03:00;;1;0;0;;0;1;1;;2;0;0;1;2;1;0;0;1;;1;
su 3 tammi 2016 04:00;;1;1;0;;0;2;0;;0;0;0;0;0;5;1;0;0;;0;
su 3 tammi 2016 05:00;;1;0;0;;0;2;0;;1;3;2;1;0;0;2;1;1;;0;
su 3 tammi 2016 06:00;;1;0;1;;0;4;2;;2;0;1;3;2;1;2;0;1;;3;
su 3 tammi 2016 07:00;;2;2;2;;0;4;1;;2;3;4;1;5;3;0;2;3;;4;
su 3 tammi 2016 08:00;;3;0;4;;0;1;5;;3;1;3;1;2;0;3;0;2;;3;
su 3 tammi 2016 09:00;;3;2;7;;0;8;3;;7;2;5;4;1;4;4;3;5;;7;
su 3 tammi 2016 10:00;;6;3;2;;0;6;3;;12;7;4;7;13;7;10;3;6;;16;
su 3 tammi 2016 11:00;;7;2;5;;0;9;2;;13;3;2;4;13;13;10;2;12;;9;
su 3 tammi 2016 12:00;;8;10;1;;0;8;4;;14;14;2;2;22;9;8;5;10;;12;
su 3 tammi 2016 13:00;;9;8;13;;0;13;4;;7;18;6;5;6;11;15;7;10;;10;
su 3 tammi 2016 14:00;;9;7;7;;0;10;3;;20;16;6;4;21;16;12;10;6;;17;
su 3 tammi 2016 15:00;;11;5;12;;0;14;10;;13;19;4;6;24;12;22;10;9;;15;
su 3 tammi 2016 16:00;;9;6;4;;0;16;4;;4;15;6;6;9;9;7;5;5;;14;
su 3 tammi 2016 17:00;;8;6;8;;0;13;1;;23;11;9;5;17;14;16;10;11;;16;
su 3 tammi 2016 18:00;;3;5;5;;0;9;3;;20;10;4;4;12;12;10;12;9;;11;
su 3 tammi 2016 19:00;;7;4;4;;0;4;6;;10;9;4;5;4;8;15;3;10;;8;
su 3 tammi 2016 20:00;;3;3;5;;0;2;3;;7;3;3;4;13;0;9;8;4;;11;
su 3 tammi 2016 21:00;;4;2;4;;0;4;2;;7;11;3;3;5;6;3;2;8;;9;
su 3 tammi 2016 22:00;;1;1;2;;0;3;0;;1;3;1;3;3;2;3;1;8;;5;
su 3 tammi 2016 23:00;;1;3;1;;0;0;0;;0;1;1;2;2;1;2;0;1;;2;
ma 4 tammi 2016 00:00;;0;0;2;;0;0;1;;1;0;0;0;1;1;2;0;1;;1;
ma 4 tammi 2016 01:00;;1;1;0;;0;0;0;;3;0;0;0;2;0;0;0;2;;5;
ma 4 tammi 2016 02:00;;1;0;0;;0;0;0;;1;1;0;1;1;0;0;0;1;;0;
ma 4 tammi 2016 03:00;;1;0;0;;0;3;1;;1;0;0;1;1;0;5;0;2;;1;
ma 4 tammi 2016 04:00;;1;3;0;;0;1;1;;0;0;0;1;10;1;0;0;3;;2;
ma 4 tammi 2016 05:00;;4;6;0;;0;10;2;;8;2;1;1;3;1;3;5;11;;10;
ma 4 tammi 2016 06:00;;5;22;10;;0;17;12;;24;12;16;10;18;6;4;7;25;;27;
ma 4 tammi 2016 07:00;;17;50;26;;0;47;23;;58;32;33;20;35;22;5;32;80;;57;
ma 4 tammi 2016 08:00;;37;48;42;;0;51;41;;67;43;34;23;87;35;18;47;89;;110;
ma 4 tammi 2016 09:00;;18;22;31;;0;31;30;;34;26;21;9;44;22;10;19;45;;58;
ma 4 tammi 2016 10:00;;17;7;14;;0;9;10;;10;12;7;6;16;4;8;8;12;;19;
ma 4 tammi 2016 11:00;;20;9;9;;0;14;7;;14;7;5;6;15;12;20;5;22;;15;
ma 4 tammi 2016 12:00;;9;5;7;;0;11;5;;20;2;3;6;15;13;9;5;18;;15;
ma 4 tammi 2016 13:00;;16;4;6;;0;10;5;;21;16;10;5;9;16;15;8;11;;16;
ma 4 tammi 2016 14:00;;13;16;12;;0;22;8;;26;14;10;8;14;25;12;7;26;;22;
ma 4 tammi 2016 15:00;;19;39;36;;0;35;31;;41;23;24;17;34;21;9;11;59;;56;
ma 4 tammi 2016 16:00;;26;45;29;;0;39;28;;57;50;34;15;54;43;19;36;72;;87;
ma 4 tammi 2016 17:00;;25;36;29;;0;41;24;;47;35;26;16;49;30;9;31;64;;60;
ma 4 tammi 2016 18:00;;20;28;17;;0;25;7;;26;22;11;6;37;28;12;25;39;;59;
ma 4 tammi 2016 19:00;;12;15;7;;0;12;5;;22;9;8;3;11;14;13;7;18;;27;
ma 4 tammi 2016 20:00;;8;6;3;;0;5;1;;14;9;6;5;27;9;12;4;18;;25;
ma 4 tammi 2016 21:00;;2;6;9;;0;9;4;;15;9;6;4;9;7;3;5;9;;12;
ma 4 tammi 2016 22:00;;1;4;2;;0;2;4;;6;2;1;3;4;2;4;6;9;;7;
ma 4 tammi 2016 23:00;;3;1;4;;0;2;0;;1;4;0;0;2;0;0;0;4;;2;
ti 5 tammi 2016 00:00;;2;1;0;;0;0;1;;1;0;1;1;0;0;0;0;4;;1;
ti 5 tammi 2016 01:00;;1;0;1;;0;0;0;;0;0;0;0;1;1;1;0;2;;1;
ti 5 tammi 2016 02:00;;0;0;0;;0;1;1;;1;0;0;0;0;0;0;0;0;;1;
ti 5 tammi 2016 03:00;;0;1;0;;0;1;0;;0;0;0;0;1;1;1;0;1;;0;
ti 5 tammi 2016 04:00;;0;1;0;;0;2;0;;0;1;0;1;0;0;0;0;2;;0;
ti 5 tammi 2016 05:00;;1;4;1;;0;4;1;;4;3;1;2;2;3;2;4;7;;9;
ti 5 tammi 2016 06:00;;5;26;10;;0;16;6;;12;8;9;10;14;5;1;10;27;;17;
ti 5 tammi 2016 07:00;;13;40;12;;0;27;13;;40;27;24;17;24;13;7;27;42;;57;
ti 5 tammi 2016 08:00;;28;33;28;;0;33;25;;46;24;31;13;53;29;9;20;70;;65;
ti 5 tammi 2016 09:00;;21;19;19;;0;27;7;;29;21;8;5;42;31;12;14;41;;49;
ti 5 tammi 2016 10:00;;10;3;12;;0;5;5;;21;6;4;4;15;15;2;7;9;;20;
ti 5 tammi 2016 11:00;;19;2;2;;0;11;6;;15;10;5;3;8;6;12;6;26;;15;
ti 5 tammi 2016 12:00;;10;5;4;;0;6;4;;17;5;1;6;10;17;8;10;9;;15;
ti 5 tammi 2016 13:00;;19;5;7;;0;7;5;;6;15;8;6;11;16;17;7;10;;11;
ti 5 tammi 2016 14:00;;14;20;7;;0;9;6;;17;10;3;7;14;19;22;12;21;;26;
ti 5 tammi 2016 15:00;;20;15;15;;0;20;15;;31;19;14;8;21;20;14;18;25;;26;
ti 5 tammi 2016 16:00;;32;35;20;;0;35;18;;45;30;17;16;36;29;19;26;52;;53;
ti 5 tammi 2016 17:00;;29;33;18;;0;31;13;;47;19;20;13;43;21;16;23;57;;49;
ti 5 tammi 2016 18:00;;20;19;13;;0;8;11;;27;18;15;10;38;20;11;12;29;;24;
ti 5 tammi 2016 19:00;;8;7;10;;0;9;4;;11;12;8;3;17;6;11;9;24;;24;
ti 5 tammi 2016 20:00;;8;6;7;;0;5;2;;8;12;8;3;10;4;8;4;16;;14;
ti 5 tammi 2016 21:00;;5;5;4;;0;3;2;;8;2;2;1;13;8;6;4;8;;14;
ti 5 tammi 2016 22:00;;2;6;2;;0;3;2;;1;0;2;1;3;1;2;2;6;;1;
ti 5 tammi 2016 23:00;;3;2;4;;0;0;1;;0;1;1;0;4;1;1;1;3;;2;
ke 6 tammi 2016 00:00;;14;1;2;;0;2;3;;2;0;2;2;2;2;0;0;5;;4;
ke 6 tammi 2016 01:00;;8;0;1;;0;0;2;;1;1;1;0;0;3;1;1;0;;0;
ke 6 tammi 2016 02:00;;0;1;0;;0;4;0;;0;0;0;0;1;1;2;0;4;;0;
ke 6 tammi 2016 03:00;;1;0;0;;0;0;0;;0;0;0;0;0;1;1;0;0;;1;
ke 6 tammi 2016 04:00;;0;0;0;;0;1;0;;0;0;0;0;0;1;2;0;0;;0;
ke 6 tammi 2016 05:00;;0;1;0;;0;2;0;;2;2;0;0;0;0;0;2;1;;3;
ke 6 tammi 2016 06:00;;0;3;0;;0;1;2;;0;0;6;0;1;0;0;0;3;;3;
ke 6 tammi 2016 07:00;;1;1;0;;0;3;2;;5;2;1;1;3;1;0;1;4;;3;
ke 6 tammi 2016 08:00;;3;1;5;;0;1;0;;3;2;2;3;3;0;1;4;3;;1;
ke 6 tammi 2016 09:00;;0;2;1;;0;3;0;;7;4;2;2;6;1;4;1;4;;5;
ke 6 tammi 2016 10:00;;2;1;4;;0;4;1;;0;2;2;3;4;7;8;8;6;;7;
ke 6 tammi 2016 11:00;;8;1;1;;0;5;0;;4;4;6;2;11;6;4;5;8;;13;
ke 6 tammi 2016 12:00;;5;0;6;;0;4;1;;13;4;1;6;7;8;8;1;4;;12;
ke 6 tammi 2016 13:00;;2;5;2;;0;4;6;;7;7;9;3;9;5;6;4;4;;12;
ke 6 tammi 2016 14:00;;4;2;4;;0;12;2;;14;8;5;2;9;6;6;4;9;;11;
ke 6 tammi 2016 15:00;;5;7;5;;0;6;3;;5;11;7;3;18;5;7;7;8;;16;
ke 6 tammi 2016 16:00;;6;4;2;;0;6;1;;11;10;5;4;9;6;5;4;7;;8;
ke 6 tammi 2016 17:00;;11;2;1;;0;1;1;;11;3;0;2;6;7;5;4;11;;8;
ke 6 tammi 2016 18:00;;2;3;5;;0;7;3;;5;5;0;6;8;9;6;5;6;;13;
ke 6 tammi 2016 19:00;;7;2;2;;0;3;0;;10;14;8;3;7;3;8;7;2;;6;
ke 6 tammi 2016 20:00;;6;0;2;;0;2;4;;7;6;9;3;9;4;6;6;3;;6;
ke 6 tammi 2016 21:00;;5;4;6;;0;4;3;;8;2;6;2;2;3;1;0;3;;4;
ke 6 tammi 2016 22:00;;3;1;0;;0;3;0;;3;1;1;0;2;2;1;5;3;;3;
ke 6 tammi 2016 23:00;;0;0;0;;0;2;0;;2;0;1;2;0;0;1;1;1;;0;
to 7 tammi 2016 00:00;;1;0;0;;0;0;0;;0;0;0;0;1;0;2;0;0;;0;
to 7 tammi 2016 01:00;;0;0;1;;0;1;0;;0;0;0;1;2;1;1;0;5;;0;
to 7 tammi 2016 02:00;;0;0;0;;0;0;0;;0;0;0;0;1;0;0;0;2;;1;
to 7 tammi 2016 03:00;;0;0;0;;0;1;0;;0;0;0;1;1;0;0;0;3;;0;
to 7 tammi 2016 04:00;;0;3;0;;0;2;0;;0;0;0;0;0;2;0;0;1;;0;
to 7 tammi 2016 05:00;;1;1;0;;0;5;0;;1;0;0;1;2;1;2;3;7;;5;
to 7 tammi 2016 06:00;;4;12;4;;0;19;2;;13;6;7;1;7;4;0;17;31;;17;
to 7 tammi 2016 07:00;;9;33;14;;0;26;15;;29;31;25;14;32;14;10;11;44;;35;
to 7 tammi 2016 08:00;;20;29;30;;0;44;28;;40;28;19;23;45;16;11;23;55;;51;
to 7 tammi 2016 09:00;;22;13;18;;0;16;15;;23;11;18;5;26;16;9;17;37;;47;
to 7 tammi 2016 10:00;;9;2;6;;0;6;5;;12;4;3;4;12;6;6;5;14;;15;
to 7 tammi 2016 11:00;;12;1;5;;0;5;6;;6;8;4;2;7;7;8;3;5;;4;
to 7 tammi 2016 12:00;;15;3;2;;0;0;0;;8;8;1;3;11;7;6;3;14;;10;
to 7 tammi 2016 13:00;;7;3;3;;0;8;0;;5;8;3;1;5;4;6;1;7;;5;
to 7 tammi 2016 14:00;;11;8;6;;0;13;10;;13;5;6;4;13;19;10;9;12;;13;
to 7 tammi 2016 15:00;;18;12;6;;0;21;9;;25;20;9;10;14;15;8;14;37;;26;
to 7 tammi 2016 16:00;;18;25;16;;0;26;17;;30;29;26;15;38;23;13;18;48;;39;
to 7 tammi 2016 17:00;;21;26;16;;0;33;11;;35;18;15;11;30;24;6;21;30;;53;
to 7 tammi 2016 18:00;;16;11;10;;0;15;7;;35;16;7;6;23;13;8;12;25;;39;
to 7 tammi 2016 19:00;;8;9;7;;0;15;2;;23;7;12;2;10;11;10;13;14;;20;
to 7 tammi 2016 20:00;;9;4;6;;0;1;2;;8;9;4;2;10;8;6;8;12;;11;
to 7 tammi 2016 21:00;;2;3;4;;0;6;2;;3;5;4;2;9;10;4;5;9;;15;
to 7 tammi 2016 22:00;;3;1;0;;0;3;1;;4;1;5;3;2;2;1;5;6;;4;
to 7 tammi 2016 23:00;;3;2;2;;0;0;3;;2;0;3;1;0;3;0;1;2;;1;
pe 8 tammi 2016 00:00;;1;0;0;;0;1;0;;2;0;0;0;1;0;1;0;3;;1;
pe 8 tammi 2016 01:00;;1;0;0;;0;1;0;;0;0;0;0;1;0;0;0;1;;0;
pe 8 tammi 2016 02:00;;0;1;0;;0;0;0;;1;0;0;0;0;0;1;0;0;;1;
pe 8 tammi 2016 03:00;;0;0;0;;0;1;0;;0;0;0;0;0;0;0;0;58;;0;
pe 8 tammi 2016 04:00;;0;1;0;;0;1;0;;0;0;0;0;0;1;0;0;2;;0;
pe 8 tammi 2016 05:00;;1;1;0;;0;7;1;;2;1;2;1;0;0;3;4;5;;3;
pe 8 tammi 2016 06:00;;6;7;8;;0;18;2;;10;5;6;5;13;6;2;11;11;;15;
pe 8 tammi 2016 07:00;;9;19;9;;0;28;13;;29;29;17;14;20;10;7;19;43;;22;
pe 8 tammi 2016 08:00;;21;33;22;;0;29;19;;45;24;17;17;55;24;10;23;51;;67;
pe 8 tammi 2016 09:00;;15;12;15;;0;19;12;;27;13;11;10;33;17;9;12;27;;51;
pe 8 tammi 2016 10:00;;6;2;12;;0;12;8;;13;6;4;3;15;8;7;3;10;;16;
pe 8 tammi 2016 11:00;;10;6;5;;0;6;3;;17;9;5;5;5;9;6;5;7;;8;
pe 8 tammi 2016 12:00;;10;5;3;;0;6;2;;10;12;3;3;5;7;10;6;6;;10;
pe 8 tammi 2016 13:00;;12;1;4;;0;6;5;;5;5;6;4;15;7;14;5;10;;10;
pe 8 tammi 2016 14:00;;15;11;7;;0;16;4;;20;5;4;8;15;6;11;12;13;;14;
pe 8 tammi 2016 15:00;;19;17;21;;0;16;12;;21;28;14;13;19;18;9;14;22;;23;
pe 8 tammi 2016 16:00;;25;23;22;;0;23;14;;38;24;16;16;36;21;8;31;51;;57;
pe 8 tammi 2016 17:00;;28;28;15;;0;29;14;;40;19;15;5;39;35;15;26;42;;62;
pe 8 tammi 2016 18:00;;19;10;13;;0;13;16;;21;14;16;7;14;14;9;11;33;;28;
pe 8 tammi 2016 19:00;;14;2;4;;0;8;4;;10;6;7;5;12;16;9;6;10;;14;
pe 8 tammi 2016 20:00;;8;3;6;;0;8;3;;11;6;7;2;10;7;7;7;5;;13;
pe 8 tammi 2016 21:00;;1;1;2;;0;5;3;;7;8;4;3;14;8;7;5;6;;11;
pe 8 tammi 2016 22:00;;3;2;5;;0;1;7;;4;2;3;3;7;5;2;4;7;;6;
pe 8 tammi 2016 23:00;;3;2;3;;0;3;0;;5;2;1;2;1;2;2;2;4;;3;
la 9 tammi 2016 00:00;;1;1;1;;0;4;0;;2;0;0;0;0;1;5;0;3;;1;
la 9 tammi 2016 01:00;;2;1;0;;0;1;0;;1;0;0;1;3;3;2;0;3;;1;
la 9 tammi 2016 02:00;;2;0;7;;0;1;1;;4;1;0;1;4;1;4;1;0;;5;
la 9 tammi 2016 03:00;;0;0;1;;0;2;1;;4;0;2;0;0;2;0;3;0;;2;
la 9 tammi 2016 04:00;;1;0;1;;0;1;0;;2;0;0;0;0;2;0;0;3;;1;
la 9 tammi 2016 05:00;;0;0;1;;0;1;0;;1;1;1;0;1;0;1;0;1;;1;
la 9 tammi 2016 06:00;;1;1;1;;0;2;0;;2;1;3;5;2;1;0;0;4;;2;
la 9 tammi 2016 07:00;;0;3;3;;0;4;0;;0;0;2;0;4;0;1;1;11;;4;
la 9 tammi 2016 08:00;;2;1;1;;0;3;3;;1;4;8;1;3;5;0;3;3;;2;
la 9 tammi 2016 09:00;;3;8;2;;0;3;4;;9;4;3;1;3;7;3;1;14;;7;
la 9 tammi 2016 10:00;;1;2;4;;0;3;3;;12;6;2;4;8;6;11;5;13;;10;
la 9 tammi 2016 11:00;;5;2;8;;0;7;6;;11;11;6;10;9;9;10;5;12;;11;
la 9 tammi 2016 12:00;;9;5;5;;0;10;0;;11;4;5;5;11;11;8;8;12;;12;
la 9 tammi 2016 13:00;;9;12;10;;0;16;5;;18;11;9;9;7;14;17;4;20;;13;
la 9 tammi 2016 14:00;;12;6;2;;0;9;6;;14;9;13;4;16;16;17;10;14;;15;
la 9 tammi 2016 15:00;;14;11;11;;0;12;4;;20;12;5;7;13;18;16;3;10;;24;
la 9 tammi 2016 16:00;;19;9;9;;0;11;2;;10;14;5;1;7;16;13;6;11;;11;
la 9 tammi 2016 17:00;;33;1;10;;0;5;3;;15;6;4;2;7;9;9;7;6;;9;
la 9 tammi 2016 18:00;;53;4;7;;0;7;2;;8;11;11;0;7;15;8;1;10;;8;
la 9 tammi 2016 19:00;;21;0;5;;0;3;3;;7;2;2;3;15;1;9;5;9;;4;
la 9 tammi 2016 20:00;;23;3;1;;0;8;1;;10;4;8;0;11;7;4;0;5;;6;
la 9 tammi 2016 21:00;;11;2;1;;0;5;2;;11;4;0;7;17;5;3;3;5;;7;
la 9 tammi 2016 22:00;;5;0;1;;0;0;0;;4;3;2;2;0;5;6;3;7;;4;
la 9 tammi 2016 23:00;;1;0;3;;0;4;4;;3;0;0;0;0;0;4;2;2;;2;
su 10 tammi 2016 00:00;;10;1;3;;0;0;1;;5;0;0;0;1;0;1;2;1;;2;
su 10 tammi 2016 01:00;;0;0;2;;0;1;2;;2;0;1;2;2;0;5;0;1;;0;
su 10 tammi 2016 02:00;;0;1;2;;0;4;0;;0;0;0;3;4;4;2;0;0;;2;
su 10 tammi 2016 03:00;;0;0;0;;0;0;0;;4;2;0;1;3;0;0;2;0;;1;
su 10 tammi 2016 04:00;;0;0;0;;0;1;0;;0;1;1;0;3;2;2;0;0;;0;
su 10 tammi 2016 05:00;;0;1;0;;0;3;2;;1;0;0;0;0;0;0;0;0;;1;
su 10 tammi 2016 06:00;;0;1;2;;0;4;1;;0;0;3;2;1;2;0;0;5;;4;
su 10 tammi 2016 07:00;;2;7;0;;0;4;1;;3;3;1;2;1;0;0;3;4;;3;
su 10 tammi 2016 08:00;;2;3;3;;0;5;0;;3;3;1;0;2;0;1;1;7;;1;
su 10 tammi 2016 09:00;;1;2;4;;0;2;2;;7;1;0;2;5;1;0;2;7;;1;
